index,image_id,label,taxon,human_x,human_y,network_x,network_y
0,stim-0007,hartebeest,Hoofed mammal,0.25657,-0.4622,-0.24564,0.37801
1,stim-0019,hartebeest,Hoofed mammal,0.20057,-0.44623,-0.24538,0.21286
2,stim-0035,tree frog,Amphibian,0.59156,0.71263,0.30015,0.57994
3,stim-0078,chimpanzee,Primate,-0.40534,-0.21154,-0.20393,-0.45376
4,stim-0087,grey fox,Carnivore,-0.0496,-0.25633,0.47226,-0.17971
5,stim-0098,Komodo dragon,Reptile,0.63924,0.59706,0.38439,0.39278
6,stim-0152,marmot,Rodent,-0.17385,0.04637,0.24372,-0.01387
7,stim-0156,hippopotamus,Hoofed mammal,0.35242,-0.15164,-0.5235,-0.28046
8,stim-0166,zebra,Hoofed mammal,0.25987,-0.48252,-0.63098,0.59269
9,stim-0178,tree frog,Amphibian,0.58418,0.72659,0.39501,0.31086
10,stim-0189,king penguin,Bird,-0.39612,0.74385,0.7084,0.14369
11,stim-0201,indri,Primate,-0.38926,0.03336,0.64422,-0.39909
12,stim-0205,baboon,Primate,-0.35654,-0.19944,0.1267,-0.6816
13,stim-0213,hippopotamus,Hoofed mammal,0.37346,-0.13829,-0.44225,-0.21345
14,stim-0225,red wolf,Carnivore,-0.03899,-0.34717,-0.09983,0.29701
15,stim-0234,chimpanzee,Primate,-0.42786,-0.23497,-0.33533,-0.63755
16,stim-0239,whiptail,Reptile,0.67273,0.65933,0.36136,0.54457
17,stim-0255,indri,Primate,-0.35882,-0.02792,0.70648,-0.54224
18,stim-0262,jaguar,Carnivore,-0.07347,-0.38922,-0.45774,0.66896
19,stim-0264,bald eagle,Bird,-0.45603,0.82293,0.68177,-0.21712
20,stim-0265,bald eagle,Bird,-0.45726,0.85118,0.48366,0.48278
21,stim-0304,bighorn,Hoofed mammal,0.17898,-0.41252,-0.68631,0.13586
22,stim-0306,African elephant,Other mammal,0.33143,-0.22816,-0.59952,0.2776
23,stim-0307,llama,Hoofed mammal,0.13887,-0.3434,0.02953,-0.39896
24,stim-0326,orangutan,Primate,-0.40296,-0.23353,-0.1944,-0.51877
25,stim-0340,llama,Hoofed mammal,0.09197,-0.33665,-0.70987,-0.15331
26,stim-0346,howler monkey,Primate,-0.42073,-0.19758,-0.13612,-0.7663
27,stim-0352,orangutan,Primate,-0.39915,-0.21456,-0.13863,-0.60406
28,stim-0354,tiger,Carnivore,-0.05825,-0.41954,-0.59976,0.01066
29,stim-0394,marmot,Rodent,-0.13937,0.00336,0.27369,-0.03036
30,stim-0398,terrapin,Reptile,0.66062,0.5388,0.09724,0.44189
31,stim-0400,impala,Hoofed mammal,0.17409,-0.38424,-0.39689,0.13176
32,stim-0407,cheetah,Carnivore,-0.03109,-0.45841,-0.48286,0.34937
33,stim-0433,African elephant,Other mammal,0.34148,-0.23649,-0.5953,-0.23013
34,stim-0441,titi,Primate,-0.3049,-0.07973,0.29748,-0.28
35,stim-0466,chimpanzee,Primate,-0.4343,-0.21538,-0.22686,-0.6033
36,stim-0517,tiger,Carnivore,-0.07886,-0.4112,-0.67494,-0.00016
37,stim-0533,king penguin,Bird,-0.32222,0.82208,0.39118,0.05145
38,stim-0548,colobus,Primate,-0.42201,-0.10573,0.02172,-0.7679
39,stim-0598,lynx,Carnivore,-0.10765,-0.41128,-0.34913,0.43129
40,stim-0605,chimpanzee,Primate,-0.4186,-0.22418,-0.21816,-0.42967
41,stim-0609,tiger,Carnivore,-0.09369,-0.41714,-0.35284,0.01005
42,stim-0614,horned viper,Reptile,0.78052,0.61758,0.21519,0.69056
43,stim-0629,guenon,Primate,-0.3978,-0.05717,0.43355,-0.13689
44,stim-0641,cougar,Carnivore,-0.03941,-0.40809,-0.29296,0.05973
45,stim-0659,lion,Carnivore,-0.11105,-0.41773,-0.12579,-0.23495
46,stim-0665,indri,Primate,-0.38246,-0.0979,0.53865,-0.33803
47,stim-0675,colobus,Primate,-0.39714,-0.1426,0.21166,-0.42348
48,stim-0677,giant panda,Carnivore,-0.15145,-0.20132,0.04488,0.55711
49,stim-0698,African elephant,Other mammal,0.31672,-0.21616,-0.47032,-0.17695
50,stim-0702,bighorn,Hoofed mammal,0.14789,-0.39213,-0.34705,-0.16842
51,stim-0720,bulbul,Bird,-0.41024,0.89452,0.68744,-0.16662
52,stim-0722,king penguin,Bird,-0.28407,0.81152,0.62873,0.15508
53,stim-0762,ram,Hoofed mammal,0.19556,-0.3791,-0.5461,-0.33252
54,stim-0768,banded gecko,Reptile,0.58413,0.70156,0.44054,0.35113
55,stim-0786,fox squirrel,Rodent,-0.21818,0.04592,0.33005,-0.2065
56,stim-0793,bison,Hoofed mammal,0.1207,-0.45693,-0.32167,-0.33622
57,stim-0805,marmot,Rodent,-0.21347,0.05447,0.31913,-0.12912
58,stim-0829,porcupine,Rodent,-0.15551,0.06682,0.43926,-0.55456
59,stim-0836,albatross,Bird,-0.41064,0.86568,-0.10391,0.99459
60,stim-0856,brown bear,Carnivore,-0.09535,-0.3095,-0.05996,-0.26766
61,stim-0906,baboon,Primate,-0.39616,-0.16677,0.51503,-0.57142
62,stim-0919,green snake,Reptile,0.74672,0.66036,0.39982,0.66937
63,stim-0929,diamondback,Reptile,0.76763,0.60208,0.40629,0.77962
64,stim-0942,patas,Primate,-0.37466,-0.14778,0.33603,-0.42044
65,stim-0953,tree frog,Amphibian,0.6388,0.73546,0.63802,0.37614
66,stim-0976,impala,Hoofed mammal,0.17078,-0.42019,-0.47979,0.17119
67,stim-0978,titi,Primate,-0.41038,-0.11523,0.59918,-0.53922
68,stim-0984,patas,Primate,-0.35532,-0.13459,0.17733,-0.48022
69,stim-0986,jaguar,Carnivore,-0.0878,-0.44566,-0.48713,-0.01198
70,stim-0994,gazelle,Hoofed mammal,0.14697,-0.42694,-0.01203,-0.27654
71,stim-1027,tiger,Carnivore,-0.08984,-0.45664,-0.79406,-0.04477
72,stim-1033,tiger,Carnivore,-0.08863,-0.4738,-0.70323,0.31692
73,stim-1034,brown bear,Carnivore,-0.16872,-0.36623,-0.18482,0.54495
74,stim-1041,coyote,Carnivore,-0.06429,-0.35081,-0.13643,0.22864
75,stim-1049,gazelle,Hoofed mammal,0.26993,-0.42885,-0.47601,0.55415
76,stim-1056,king penguin,Bird,-0.35129,0.7596,0.69032,0.06507
77,stim-1059,chimpanzee,Primate,-0.42937,-0.17542,-0.1886,-0.72622
78,stim-1073,sea lion,Carnivore,0.27386,0.14759,0.00828,0.12892
79,stim-1075,ice bear,Carnivore,-0.1054,-0.23877,0.25312,0.05128
80,stim-1077,white wolf,Carnivore,0.11459,-0.38081,-0.00679,0.21026
81,stim-1079,porcupine,Rodent,-0.3015,0.00927,0.40917,-0.44263
82,stim-1082,colobus,Primate,-0.36915,-0.16101,0.32502,-0.64313
83,stim-1089,common iguana,Reptile,0.58181,0.59014,0.17096,0.3705
84,stim-1096,tailed frog,Amphibian,0.61218,0.69587,0.48436,0.6516
85,stim-1098,gorilla,Primate,-0.39182,-0.20671,-0.03487,-0.69909
86,stim-1125,box turtle,Reptile,0.61955,0.58262,0.19417,0.61581
87,stim-1130,whiptail,Reptile,0.55335,0.7337,0.53459,0.32216
88,stim-1134,impala,Hoofed mammal,0.15932,-0.42098,-0.26252,-0.10327
89,stim-1143,gorilla,Primate,-0.38811,-0.22593,-0.1996,-0.34889
90,stim-1149,patas,Primate,-0.36203,-0.16174,0.09318,-0.47127
91,stim-1158,jacamar,Bird,-0.35964,0.93309,0.66343,0.21143
92,stim-1172,tiger,Carnivore,-0.07295,-0.46464,-0.55453,0.0133
93,stim-1183,coyote,Carnivore,-0.04013,-0.33378,-0.35185,0.4558
94,stim-1209,lion,Carnivore,-0.07831,-0.47092,-0.12118,0.11455
95,stim-1228,fox squirrel,Rodent,-0.20844,0.10817,0.58839,-0.06815
96,stim-1238,American black bear,Carnivore,-0.13571,-0.24093,0.10836,-0.04322
97,stim-1286,orangutan,Primate,-0.38399,-0.20947,-0.07654,-0.85123
98,stim-1314,lynx,Carnivore,-0.0711,-0.42066,-0.3478,0.25169
99,stim-1325,house finch,Bird,-0.33747,0.92371,0.5026,0.10452
100,stim-1343,common newt,Amphibian,0.64073,0.6545,0.41827,0.42933
101,stim-1345,killer whale,Other mammal,0.1331,0.76998,-0.04252,0.58046
102,stim-1363,terrapin,Reptile,0.65842,0.59515,0.10915,0.36051
103,stim-1368,gorilla,Primate,-0.40726,-0.20899,-0.05036,-0.62045
104,stim-1377,chimpanzee,Primate,-0.41106,-0.22547,0.02551,-0.53583
105,stim-1432,African crocodile,Reptile,0.75414,0.49556,0.04174,0.15285
106,stim-1460,night snake,Reptile,0.72746,0.64551,0.36832,0.85912
107,stim-1464,ibex,Hoofed mammal,0.1328,-0.3901,-0.09237,-0.10589
108,stim-1507,ram,Hoofed mammal,0.1247,-0.41265,-0.1868,0.51095
109,stim-1518,tree frog,Amphibian,0.64644,0.71264,0.27462,0.3923
110,stim-1521,marmot,Rodent,-0.25474,0.04348,0.02473,-0.12044
111,stim-1526,coyote,Carnivore,-0.01872,-0.35877,-0.07868,0.35779
112,stim-1533,gazelle,Hoofed mammal,0.16448,-0.46049,-0.57691,0.43955
113,stim-1552,tiger,Carnivore,-0.04156,-0.4578,-0.61422,0.21062
114,stim-1565,bighorn,Hoofed mammal,0.16007,-0.38237,-0.74377,-0.35896
115,stim-1566,zebra,Hoofed mammal,0.11176,-0.31572,-0.4768,0.06662
116,stim-1600,chimpanzee,Primate,-0.41412,-0.16087,-0.2064,-0.38963
117,stim-1611,zebra,Hoofed mammal,0.16797,-0.34078,-0.47483,0.23514
118,stim-1618,cock,Bird,-0.36973,0.85554,0.38118,-0.89053
119,stim-1727,sidewinder,Reptile,0.75198,0.64543,0.12613,0.58175
